username,following,followers,likes,video_views,video_link,scrap_date,scrap_time
fernandassep,156,79600,4000000,18900.0,https://www.tiktok.com/@fernandassep/video/7077740485787340074,2022-04-01,00:47:17.592181
fernandassep,156,79600,4000000,23900.0,https://www.tiktok.com/@fernandassep/video/7077739095245688110,2022-04-01,00:47:17.630300
fernandassep,156,79600,4000000,25900.0,https://www.tiktok.com/@fernandassep/video/7077702933936246062,2022-04-01,00:47:17.669198
fernandassep,156,79600,4000000,45100.0,https://www.tiktok.com/@fernandassep/video/7077672408412327210,2022-04-01,00:47:17.705128
fernandassep,156,79600,4000000,257899.0,https://www.tiktok.com/@fernandassep/video/7077634646057569578,2022-04-01,00:47:17.741253
fernandassep,156,79600,4000000,79900.0,https://www.tiktok.com/@fernandassep/video/7077622651300203819,2022-04-01,00:47:17.777901
fernandassep,156,79600,4000000,37500.0,https://www.tiktok.com/@fernandassep/video/7077435077772234026,2022-04-01,00:47:17.816833
fernandassep,156,79600,4000000,29000.0,https://www.tiktok.com/@fernandassep/video/7077398052453240110,2022-04-01,00:47:17.856996
fernandassep,156,79600,4000000,22900.0,https://www.tiktok.com/@fernandassep/video/7077377209027071274,2022-04-01,00:47:17.892837
fernandassep,156,79600,4000000,121900.0,https://www.tiktok.com/@fernandassep/video/7077357985730841902,2022-04-01,00:47:17.930362
fernandassep,156,79600,4000000,66600.0,https://www.tiktok.com/@fernandassep/video/7077287656853343534,2022-04-01,00:47:17.966366
fernandassep,156,79600,4000000,26600.0,https://www.tiktok.com/@fernandassep/video/7077241196346641710,2022-04-01,00:47:18.028438
fernandassep,156,79600,4000000,34200.0,https://www.tiktok.com/@fernandassep/video/7077018006227897643,2022-04-01,00:47:18.101263
fernandassep,156,79600,4000000,13100.0,https://www.tiktok.com/@fernandassep/video/7076997389411732778,2022-04-01,00:47:18.138575
fernandassep,156,79600,4000000,13700.0,https://www.tiktok.com/@fernandassep/video/7076971781537467691,2022-04-01,00:47:18.208769
fernandassep,156,79600,4000000,23900.0,https://www.tiktok.com/@fernandassep/video/7076968295903218990,2022-04-01,00:47:18.252840
fernandassep,156,79600,4000000,38600.0,https://www.tiktok.com/@fernandassep/video/7076927844605103402,2022-04-01,00:47:18.292985
fernandassep,156,79600,4000000,36300.0,https://www.tiktok.com/@fernandassep/video/7076897631707991342,2022-04-01,00:47:18.329782
fernandassep,156,79600,4000000,56300.0,https://www.tiktok.com/@fernandassep/video/7076657199455456558,2022-04-01,00:47:18.370023
fernandassep,156,79600,4000000,43500.0,https://www.tiktok.com/@fernandassep/video/7076648994813840686,2022-04-01,00:47:18.406927
fernandassep,156,79600,4000000,34500.0,https://www.tiktok.com/@fernandassep/video/7076609439616273707,2022-04-01,00:47:18.441751
fernandassep,156,79600,4000000,30100.0,https://www.tiktok.com/@fernandassep/video/7076545122179140910,2022-04-01,00:47:18.478598
fernandassep,156,79600,4000000,15000.0,https://www.tiktok.com/@fernandassep/video/7076527312308817198,2022-04-01,00:47:18.518836
fernandassep,156,79600,4000000,49700.0,https://www.tiktok.com/@fernandassep/video/7076509030985764142,2022-04-01,00:47:18.560665
fernandassep,156,79600,4000000,1700000.0,https://www.tiktok.com/@fernandassep/video/7076314577452928298,2022-04-01,00:47:18.599866
fernandassep,156,79600,4000000,115800.0,https://www.tiktok.com/@fernandassep/video/7076231341171330350,2022-04-01,00:48:10.104802
fernandassep,156,79600,4000000,25300.0,https://www.tiktok.com/@fernandassep/video/7076163000524328238,2022-04-01,00:48:10.140346
fernandassep,156,79600,4000000,13100.0,https://www.tiktok.com/@fernandassep/video/7076156345078107435,2022-04-01,00:48:10.178171
fernandassep,156,79600,4000000,36100.0,https://www.tiktok.com/@fernandassep/video/7076146643573411118,2022-04-01,00:48:10.217601
fernandassep,156,79600,4000000,18400.0,https://www.tiktok.com/@fernandassep/video/7075890185250164011,2022-04-01,00:48:10.321901
fernandassep,156,79600,4000000,20400.0,https://www.tiktok.com/@fernandassep/video/7075873250651278634,2022-04-01,00:48:10.358906
fernandassep,156,79600,4000000,11100.0,https://www.tiktok.com/@fernandassep/video/7075775497720024366,2022-04-01,00:48:10.395821
fernandassep,156,79600,4000000,13100.0,https://www.tiktok.com/@fernandassep/video/7075773535947459883,2022-04-01,00:48:10.434370
fernandassep,156,79600,4000000,17400.0,https://www.tiktok.com/@fernandassep/video/7075768551575014699,2022-04-01,00:48:10.480177
fernandassep,156,79600,4000000,40200.0,https://www.tiktok.com/@fernandassep/video/7075739032646405418,2022-04-01,00:48:10.516632
fernandassep,156,79600,4000000,11300.0,https://www.tiktok.com/@fernandassep/video/7075543973426662699,2022-04-01,00:48:10.556878
fernandassep,156,79600,4000000,16900.0,https://www.tiktok.com/@fernandassep/video/7075473437115895082,2022-04-01,00:48:10.596517
