username,following,followers,likes,video_views,video_link,scrap_date,scrap_time,video_description,video_likes,video_comments,video_shares
fernandassep,156,79600,4000000,103800.0,https://www.tiktok.com/@fernandassep/video/7078301364182437163,2022-04-01,00:47:17.357907,'Estoy gritando porque aun estamos en el aeropuerto 🥴😅 #minivlog #vlogdeldia #mamalatina #nosvamosdeviaje #momlife #undiaenmivida #latinasenusa #disneyworld #viajarconbebes #maternidad',11500,72,10
fernandassep,156,79600,4000000,43100.0,https://www.tiktok.com/@fernandassep/video/7078124969330347310,2022-04-01,00:47:17.400861,'Los snacks son indispensables para un baby en un avión si no quieres molestar gente 🥴 #minivlog #vlogdeldia #momlife #contenidoparamamas #mamalatina #pañalerabebes #mamasdetiktok #viajarconbebes #latinasenusa',3068,33,1
fernandassep,156,79600,4000000,17600.0,https://www.tiktok.com/@fernandassep/video/7078101126125489451,2022-04-01,00:47:17.441977,"'Reply to @xiomararojasd Este lo hice yo, pero pueden encontrar bonitos en Etsy ✨ #minivlog #vlogdeldia #mamalatina #maternidad #maternidadereal #latinasenusa #momlife #montessori #tablerosensorial #diy'",1319,16,20
fernandassep,156,79600,4000000,48600.0,https://www.tiktok.com/@fernandassep/video/7078085987842346286,2022-04-01,00:47:17.479185,'Ustedes cada cuánto se dan un poquito de tiempo para ir al salón? 🥰 #minivlog #vlogdeldia #mamalatina #latinasenusa #undiaenmivida #undiaconmigo #momlife #vidademama',3077,35,1
fernandassep,156,79600,4000000,25200.0,https://www.tiktok.com/@fernandassep/video/7077987348075760942,2022-04-01,00:47:17.514861,'Ya vieron la nueva temporada? 🥰 #minivlog #vlogdeldia #momlife #mamalatina #maternidadreal #maternidadsinfiltros #vidademama #latinasenusa #undiaenmivida #undiaconmigo #rutina #rutinaencasa',2377,25,1
fernandassep,156,79600,4000000,18900.0,https://www.tiktok.com/@fernandassep/video/7077740485787340074,2022-04-01,00:47:17.592181,'Reply to @romi89sz Sin contexto #momlife #mamalatina #maternidadreal #maternidadsinfiltros #vidademama',594,49,1
fernandassep,156,79600,4000000,23900.0,https://www.tiktok.com/@fernandassep/video/7077739095245688110,2022-04-01,00:47:17.630300,'Han usado este styler para cejas? Lo vi en un Tiktok y quería probarlo👀 #minivlog #vlogdeldia #ultimascompras #targetrun #mamalatina #momlife #vidademama #cosasdemama #latinasenusa #undiaenmivida #undiaconmigo',1610,17,0
fernandassep,156,79600,4000000,25900.0,https://www.tiktok.com/@fernandassep/video/7077702933936246062,2022-04-01,00:47:17.669198,'A ver si me sacan a cenar 😌 #minivlog #vlogdeldia #rutina #maquillajesencillo #mamalatina #mamasencilla #latinasenusa #undiaenmivida #maternidad #mamasdetiktok #momlife',1614,19,1
fernandassep,156,79600,4000000,45100.0,https://www.tiktok.com/@fernandassep/video/7077672408412327210,2022-04-01,00:47:17.705128,'Reply to @chxn.777 Si ven que me falta algo recuerdenme 😅 #minivlog #vlogdeldia #momlife #mamalatina #latinasenusa #undiaenmivida #haciendomaletas #nosvamosdeviaje #mamasdetiktok #bebepatito',2976,33,3
fernandassep,156,79600,4000000,257899.0,https://www.tiktok.com/@fernandassep/video/7077634646057569578,2022-04-01,00:47:17.741253,"'Quien mas quedó pelona 👩🏼\u200d🦲 No estoy despeinada, solo soy mamá 🤡😅 #momlife #mamalatina #latinasenusa #humor #vidademama #cosasdemamas #mamasdetiktok #lactancia #maternidadreal'",12400,431,401
